index,run,task,arm,status,gate,input_tokens,cached_input_tokens,uncached_input_tokens,output_tokens,seconds,result_sha256
1,2,B,Before,COLLECTED,PASS,8359346,8205568,153778,21718,856.7215990410186,ec5765aed6aba661ae1b591052f41667ee7efd507c34837535dc7be5e7da2243
2,2,B,After,COLLECTED,TASK_FAIL,8363654,8194304,169350,35851,934.703577584005,41836cd2cff134d2d26406a0131ab79f7368d11a44a3d448cf8bc401580a24ab
3,2,X,Before,COLLECTED,PASS,9592277,9448064,144213,39192,1556.2657085409155,c4795e52d04935f62c5c41752423c062f0dc75a6a78de4dd4b67ce22232dc5b4
4,2,X,After,COLLECTED,PASS,3318390,3219328,99062,25143,983.1260285419412,26cc7608d03ba9a56b9a5e11b2ca910c0b4a10d586e43e66cb12cb64f261013a
5,3,B,After,COLLECTED,PASS,14011947,13858560,153387,25653,1249.8819989169715,86e722fee4e9bfb39cb88d1b5ecc1360d51bd7f16a6d41dee0c3b87997bc5c10
6,3,B,Before,COLLECTED,PASS,9457659,9318912,138747,25005,1308.5301098329946,790a24da7632af6629e3a7b0c520417a45256b33aa03502f5d7bb40e2c1605a2
7,3,X,After,COLLECTED,PASS,5057828,4954240,103588,29205,1421.8815614170162,420f45c4afa808c39900cdf52340b3d33493432a01dc49153ba96de722b3e0ec
8,3,X,Before,COLLECTED,PASS,10068795,9947648,121147,32815,1434.6615314580267,015f7265188b92f21181d7d3af81becd4227fdf2591da3f9009e4925b4d9ae15
