sequence,run_id,repetition,cell,candidate,scenario,prompt_sha256,model,reasoning_effort,codex_version,candidate_commit,started_at,elapsed_seconds,first_input_tokens,first_cached_input_tokens,first_output_tokens,first_reasoning_output_tokens,total_input_tokens,total_cached_input_tokens,total_output_tokens,total_reasoning_output_tokens,combined_input_tokens,combined_cached_input_tokens,combined_output_tokens,combined_reasoning_output_tokens,child_calls,tool_calls,instruction_status,R_start_bytes,R_read_bytes,checklist_1,checklist_2,checklist_3,checklist_review_status,valid_run,runtime_evidence_status,summary_sha256,notes
1,sup1-r1-l2-b2,1,L2,B2,X2,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,gpt-5.6-sol,high,0.153.4,9b6ddcd4d15226a318a716e7286149fc7dd12029,2026-09-11T16:33:25.615186+00:00,201.97155112499604,20812,6528,360,133,739209,648448,9491,5113,739209,648448,9491,5113,0,14,unavailable,1753,10201,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,751228bf0f3c1b83a941404570a02a47ca67d27499185dfb94e998bfb85a34c3,outcome_informed_followup;summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
2,sup1-r1-l2-b3,1,L2,B3,X2,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,gpt-5.6-sol,high,0.153.4,8e0028b1729ad7ba8331d528ea15be4fbe9a0be0,2026-09-11T16:37:27.701593+00:00,186.14397370803636,20973,0,380,148,432519,350208,7944,3897,432519,350208,7944,3897,0,10,unavailable,1753,1718,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,e0370998885ac3e1653f10158cb6d7268349c822a72ec54f9bcb3637422471a2,outcome_informed_followup;summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
3,sup1-r1-l3-b2,1,L3,B2,X1,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,gpt-5.6-sol,high,0.153.4,9b6ddcd4d15226a318a716e7286149fc7dd12029,2026-09-11T16:41:09.928163+00:00,185.5876466250047,20818,6528,307,116,564258,511104,8515,4138,564258,511104,8515,4138,0,14,unavailable,1753,12770,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,c681615307b61ccc4cba5a1fd57aa35c5c3e950a10848695fa2196aa695c40e0,outcome_informed_followup;summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
4,sup1-r1-l3-b3,1,L3,B3,X1,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,gpt-5.6-sol,high,0.153.4,8e0028b1729ad7ba8331d528ea15be4fbe9a0be0,2026-09-11T16:44:51.008308+00:00,144.02727595798206,20979,0,384,236,319538,274176,6602,3130,319538,274176,6602,3130,0,9,unavailable,1753,14533,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,ba8bca311070b5a103cb70562b2bcb56581478ca42feb137ea3969b982e8d62d,outcome_informed_followup;summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
5,sup1-r2-l2-b3,2,L2,B3,X2,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,gpt-5.6-sol,high,0.153.4,8e0028b1729ad7ba8331d528ea15be4fbe9a0be0,2026-09-11T16:47:51.519218+00:00,108.9786125839455,20973,6528,296,87,163060,105088,4858,1921,163060,105088,4858,1921,0,5,unavailable,1753,2525,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,47b5157755e260ff8844fb8fc1f1fc1e54c8270b9833796178279dcd2e5c1156,outcome_informed_followup;summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
6,sup1-r2-l2-b2,2,L2,B2,X2,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,gpt-5.6-sol,high,0.153.4,9b6ddcd4d15226a318a716e7286149fc7dd12029,2026-09-11T16:50:14.618778+00:00,201.29525583295617,20812,6528,366,179,932266,861568,8796,4416,932266,861568,8796,4416,0,18,unavailable,1753,25899,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,273beaf1f4663d777ad9c57d02752b290b459b331d6c7b5540a721b98d637e0e,outcome_informed_followup;summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
7,sup1-r2-l3-b3,2,L3,B3,X1,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,gpt-5.6-sol,high,0.153.4,8e0028b1729ad7ba8331d528ea15be4fbe9a0be0,2026-09-11T16:54:10.992158+00:00,145.312179541972,20979,12544,296,88,386311,351616,5652,2300,386311,351616,5652,2300,0,11,unavailable,1753,14533,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,19121da96a5b4fd955f3c6c2e5108ef81b4064630b789836bcef105b6cec0e67,outcome_informed_followup;summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
8,sup1-r2-l3-b2,2,L3,B2,X1,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,gpt-5.6-sol,high,0.153.4,9b6ddcd4d15226a318a716e7286149fc7dd12029,2026-09-11T16:57:28.157005+00:00,111.28180208301637,20818,12544,285,87,380822,338304,5071,2126,380822,338304,5071,2126,0,11,unavailable,1753,14533,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,a8cfc2f8dfb779efa10b80cbf6935344bce1099aceb7d96e2014706ab8604d45,outcome_informed_followup;summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
